parametre,nom_m,polluant,coefficiens,p-valeurs
ma.L1,AUBAGNE,NO2,-0.19702146114464353,0.8766198933453404
ar.S.L12,AUBAGNE,NO2,-5.7346492431504974e-09,0.9999999911251963
ma.S.L12,AUBAGNE,NO2,1.5800488946081492e-08,0.9999999816020614
ma.S.L24,AUBAGNE,NO2,-4.655755366377363e-13,0.9999999999282434
sigma2,AUBAGNE,NO2,26.018582050141987,0.15223244217511647
const,AUBERVILLIERS,NO2,249.96768490644806,0.0
pression_niveau_mer_Pa,AUBERVILLIERS,NO2,0.002596372091092799,0.8274128029121235
var_pression_3h_Pa,AUBERVILLIERS,NO2,-0.04303474677389008,0.9285368913641728
direction_vent_moyen_10mn_deg,AUBERVILLIERS,NO2,0.07177948610955923,0.5768640084402944
vitesse_vent_moyen_10mn_m/s,AUBERVILLIERS,NO2,-9.77359301493757,0.37046709762367047
temperature_K,AUBERVILLIERS,NO2,-1.5402376287052324,0.7125489585729357
humidite_%,AUBERVILLIERS,NO2,-0.21627532575457784,0.809440194926619
visibilite_horizontale_m,AUBERVILLIERS,NO2,0.00024434478980508496,0.8937932848453073
precipitations_24h_mm,AUBERVILLIERS,NO2,0.5883235308648748,0.9567945300248143
ar.L1,AUBERVILLIERS,NO2,0.07769039043493269,0.9717630573768277
ma.L1,AUBERVILLIERS,NO2,0.1789862693933584,0.9343470082814235
ar.S.L12,AUBERVILLIERS,NO2,3.395256009762773e-09,0.9999999967200275
ma.S.L12,AUBERVILLIERS,NO2,2.7525433388064504e-08,0.9999999896412812
ma.S.L24,AUBERVILLIERS,NO2,9.075489954088077e-12,0.9999999983836615
sigma2,AUBERVILLIERS,NO2,33.094323582079824,0.13629369909174457
const,AURILLAC,NO2,-253.93352778710062,0.0
pression_niveau_mer_Pa,AURILLAC,NO2,0.005417433441458802,1.6007689329223607e-14
var_pression_3h_Pa,AURILLAC,NO2,0.023909447585431058,0.8713493433954891
direction_vent_moyen_10mn_deg,AURILLAC,NO2,0.0032044685991238337,0.9448067788920416
vitesse_vent_moyen_10mn_m/s,AURILLAC,NO2,-2.1825169563223383,0.5201393408820651
temperature_K,AURILLAC,NO2,-0.9346327534406524,0.0035863493566362687
humidite_%,AURILLAC,NO2,-0.06076386241112222,0.8853599136280667
visibilite_horizontale_m,AURILLAC,NO2,6.803833325725452e-05,0.9794727101305324
precipitations_24h_mm,AURILLAC,NO2,-0.7056201259556588,0.666455015128156
ar.L1,AURILLAC,NO2,0.2351712826915207,0.8349129928960173
ma.L1,AURILLAC,NO2,0.05005384487364592,0.9587227330372368
ar.S.L12,AURILLAC,NO2,5.027160414058404e-07,0.9999992452554244
ma.S.L12,AURILLAC,NO2,7.446836065854987e-07,0.9999993880760423
ma.S.L24,AURILLAC,NO2,2.5742766549489638e-11,0.9999999922194128
sigma2,AURILLAC,NO2,14.451186123518138,0.11722883615085034
const,AUXERRE,NO2,0.0,
pression_niveau_mer_Pa,AUXERRE,NO2,0.0,
